id,created_at,locale,duration_seconds,top_result,score_C,score_D,score_I,score_S,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
54,2026-04-24T00:38:16.841997+00:00,,53,S,44,56,56,78,1,2,2,2,1,2,3,1,3,2,1,1
55,2026-04-24T01:02:09.140495+00:00,,51,I,78,67,89,56,2,2,2,3,2,3,2,2,1,3,1,3
56,2026-04-24T04:37:45.512343+00:00,,81,C,100,89,78,89,3,2,3,3,2,2,3,3,2,3,3,3
57,2026-04-24T15:54:46.828462+00:00,,128,C,89,78,44,44,3,2,2,2,1,1,1,1,2,2,3,3
58,2026-04-24T16:02:00.739397+00:00,,132,D,44,44,44,44,1,2,1,1,1,2,1,1,2,1,2,1
59,2026-04-24T16:36:21.129797+00:00,,78,D,67,78,56,67,2,3,2,3,0,2,2,1,3,2,2,2
60,2026-04-25T06:29:24.28074+00:00,,48,D,89,100,67,56,3,3,3,3,1,2,1,3,1,3,2,3
61,2026-04-25T07:07:41.100291+00:00,,50,D,89,89,89,67,3,2,3,2,3,3,3,3,0,3,2,3
62,2026-04-25T17:30:50.391732+00:00,,92,D,33,56,0,0,0,3,2,0,0,0,0,0,0,3,0,0
63,2026-04-26T14:25:52.256946+00:00,,55,D,44,56,33,22,2,1,2,1,1,1,1,1,0,1,2,1
64,2026-04-26T19:27:08.888199+00:00,,283,S,78,56,22,78,2,1,2,1,0,1,2,2,3,2,2,3
65,2026-04-27T03:14:33.885767+00:00,,55,C,67,44,11,33,1,0,3,1,0,0,2,0,1,1,2,3
66,2026-04-27T03:21:55.927778+00:00,,52,C,100,78,89,56,2,3,2,3,2,3,1,3,1,3,3,3
67,2026-04-27T07:54:24.798+00:00,,,C,78,67,67,67,3,2,1,1,3,2,1,3,2,3,2,2
68,2026-04-27T08:50:45.028275+00:00,,136,I,56,67,78,44,2,2,2,3,2,2,1,2,1,2,2,1
69,2026-04-27T14:51:01.296+00:00,,,D,44,67,56,67,3,2,1,2,1,2,2,2,2,2,1,1
70,2026-04-27T16:37:24.058543+00:00,,55,C,78,56,56,67,2,1,2,3,1,1,2,3,1,2,2,3
71,2026-04-28T03:29:55.89+00:00,,,D,78,100,67,22,3,3,3,3,0,3,0,1,1,3,2,2
72,2026-04-28T03:47:42.894036+00:00,,67,D,78,89,89,89,2,3,3,3,3,2,3,3,2,1,3,3
73,2026-04-28T14:39:43.045+00:00,,,S,67,56,22,67,2,1,2,0,1,1,2,2,2,2,2,2
74,2026-04-29T03:59:37.813589+00:00,,64,D,67,100,33,100,3,3,3,3,0,0,3,3,3,3,0,3
75,2026-04-29T09:51:00.865977+00:00,,38,S,56,67,56,78,2,1,3,2,2,1,2,3,2,2,1,2
76,2026-04-29T10:35:17.412415+00:00,,103,S,78,67,0,89,1,2,3,0,0,0,3,3,2,3,2,2
77,2026-04-29T13:36:22.150312+00:00,,68,I,56,44,67,44,1,1,2,2,2,2,1,2,1,2,0,3
78,2026-04-29T13:48:53.535809+00:00,,60,S,44,44,44,67,1,1,2,1,1,2,2,2,2,2,1,1
79,2026-04-30T19:23:03.870349+00:00,,65,D,67,78,67,56,2,3,2,2,1,3,0,2,3,3,0,3
80,2026-05-01T10:14:48.297582+00:00,,79,C,78,44,67,67,1,1,2,2,2,2,3,2,1,2,2,3
81,2026-05-02T04:20:27.96579+00:00,,54,S,89,67,67,100,2,2,2,2,1,3,3,3,3,2,3,3
82,2026-05-02T11:00:01.73057+00:00,,62,C,67,56,0,44,2,1,2,0,0,0,1,2,1,3,0,3
83,2026-05-02T20:36:32.649425+00:00,,143,I,44,44,56,22,1,2,1,1,2,2,0,0,2,2,1,1
84,2026-05-03T00:57:32.788642+00:00,,34,D,0,100,100,22,3,3,3,3,3,3,0,2,0,0,0,0
85,2026-05-04T03:18:05.049+00:00,,,I,33,56,78,33,2,1,2,2,2,3,1,1,1,1,1,1
86,2026-05-04T05:28:12.374+00:00,,,D,100,100,67,67,3,3,3,2,2,2,3,2,1,3,3,3
87,2026-05-04T21:05:07.166865+00:00,,44,S,44,56,22,67,2,2,1,1,1,0,1,3,2,2,1,1
88,2026-05-05T03:18:02.217+00:00,,,S,56,56,56,78,2,1,2,1,1,3,2,2,3,2,2,1
89,2026-05-05T09:41:57.640804+00:00,,363,C,100,56,22,67,2,1,2,1,1,0,1,3,2,3,3,3
90,2026-05-05T13:21:12.021276+00:00,,44,D,78,78,11,78,2,2,3,0,0,1,2,2,3,2,2,3
91,2026-05-05T20:43:49.931877+00:00,,30,S,67,67,78,100,1,3,2,3,2,2,3,3,3,3,2,1
92,2026-05-06T11:11:18.852+00:00,,,C,100,56,89,89,3,1,1,3,2,3,2,3,3,3,3,3
93,2026-05-06T16:21:13.7147+00:00,,35,S,44,33,44,67,1,2,0,1,1,2,1,2,3,3,1,0
94,2026-05-06T16:28:13.139+00:00,,,I,44,56,67,56,3,0,2,3,2,1,0,2,3,3,1,0
95,2026-05-06T21:50:11.877738+00:00,,42,S,44,33,11,67,1,1,1,1,0,0,2,2,2,2,1,1
96,2026-05-07T15:07:34.564+00:00,,,D,78,89,89,78,3,2,3,3,2,3,2,3,2,3,2,2
97,2026-05-07T15:55:12.495632+00:00,,49,C,100,56,22,78,2,1,2,1,0,1,3,3,1,3,3,3
98,2026-05-08T07:44:32.533253+00:00,,44,C,100,67,33,56,3,3,0,2,1,0,1,3,1,3,3,3
99,2026-05-08T12:06:54.948253+00:00,,55,I,67,56,78,44,2,1,2,2,3,2,1,2,1,2,2,2
100,2026-05-08T17:26:55.966113+00:00,en,18,I,67,33,89,56,0,1,2,3,2,3,1,3,1,2,1,3
101,2026-05-10T02:25:42.759398+00:00,en,61,C,83,67,75,67,1,1,3,2,2,2,2,1,2,3,1,3
102,2026-05-10T13:06:26.398089+00:00,en,7,D,100,100,100,100,3,3,3,3,3,3,3,3,3,3,3,3
103,2026-05-10T20:41:11.889564+00:00,en,68,S,89,78,78,89,3,2,2,2,2,3,3,2,3,3,2,3
104,2026-05-11T01:35:47.700496+00:00,en,26,D,67,67,56,67,2,2,2,2,1,2,2,2,2,2,2,2
105,2026-05-11T18:19:54.241+00:00,,,C,78,56,33,56,1,2,2,0,2,1,2,1,2,2,3,2
106,2026-05-11T20:05:23.349+00:00,,,I,58,67,92,75,2,1,2,3,2,3,1,3,2,1,1,2
107,2026-05-11T22:46:59.577654+00:00,en,40,I,56,56,78,78,1,1,3,2,2,3,2,2,3,3,1,1
108,2026-05-12T12:24:46.111+00:00,,,S,75,58,67,75,2,1,1,2,1,2,2,2,2,2,2,2
109,2026-05-12T16:32:09.888+00:00,,,I,75,75,83,75,2,1,3,3,2,2,3,2,1,2,2,2
110,2026-05-12T16:42:20.883357+00:00,en,228,D,67,89,89,56,3,2,3,2,3,3,1,2,2,2,2,2
111,2026-05-13T04:07:45.315784+00:00,en,69,D,67,100,100,56,3,3,3,3,3,3,2,2,1,2,2,2
112,2026-05-13T07:15:35.442235+00:00,en,43,S,89,22,44,100,1,0,1,2,1,1,3,3,3,3,3,2
113,2026-05-13T16:27:02.704+00:00,,,S,100,89,89,100,3,2,3,3,2,3,3,3,3,3,3,3
114,2026-05-13T18:53:15.74+00:00,,,D,67,78,78,33,3,3,1,3,2,2,0,0,3,3,2,1
115,2026-05-13T19:15:04.612+00:00,,,S,78,67,44,89,3,2,1,1,2,1,3,3,2,2,2,3
116,2026-05-13T19:18:14.452361+00:00,en,44,C,89,56,33,67,3,1,1,1,0,2,2,1,3,3,2,3
117,2026-05-13T19:37:01.753544+00:00,en,64,S,67,56,78,89,2,1,2,3,2,2,3,2,3,2,2,2
118,2026-05-13T20:22:32.924+00:00,,,C,83,67,42,75,2,1,2,1,1,0,2,2,2,2,2,3
119,2026-05-14T00:09:57.221+00:00,,,S,56,33,11,89,1,0,2,0,0,1,3,2,3,0,2,3
120,2026-05-14T03:25:57.991558+00:00,en,56,S,44,56,56,67,3,1,1,1,1,3,2,1,3,2,1,1
121,2026-05-14T10:22:20.017132+00:00,en,37,S,83,58,75,92,1,0,3,2,1,3,3,2,3,2,3,2
122,2026-05-14T10:43:04.307+00:00,,,D,78,78,33,67,3,2,2,1,0,2,2,2,2,2,3,2
123,2026-05-14T11:01:03.323+00:00,,,C,89,56,44,67,2,2,1,1,0,3,2,2,2,2,3,3
124,2026-05-14T14:13:25.958+00:00,,,D,100,100,22,44,3,3,3,1,0,1,3,1,0,3,3,3
125,2026-05-14T15:55:52.169+00:00,,,D,22,67,33,44,1,2,3,1,1,1,1,0,3,1,1,0
126,2026-05-14T17:12:48.593+00:00,,,D,44,78,22,44,2,3,2,1,0,1,1,1,2,1,1,2
127,2026-05-14T19:34:24.907+00:00,,,I,67,67,78,78,3,1,2,3,2,2,2,3,2,2,2,2
128,2026-05-14T19:55:36.851938+00:00,en,58,D,78,89,78,78,3,2,3,2,2,3,3,3,1,3,2,2
