id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
54,2026-05-16T05:37:56.964335+00:00,en,39,empathy,100,67,50,67,2,2,2,1,2,3,3,3,2,2
55,2026-05-16T08:11:38.558102+00:00,,60,social_skills,56,78,67,83,3,2,2,2,2,2,1,2,3,2
56,2026-05-16T09:44:11.712424+00:00,,41,self_awareness,56,78,33,67,3,3,1,1,1,1,2,2,2,2
57,2026-05-16T11:48:16.103712+00:00,en,134,empathy,89,33,50,17,1,0,2,1,2,3,2,3,1,0
58,2026-05-16T14:38:12.412149+00:00,,47,self_awareness,33,56,50,33,2,2,1,1,2,2,0,1,1,1
59,2026-05-16T19:40:51.380097+00:00,,49,empathy,100,89,67,67,3,3,2,2,2,3,3,3,3,1
60,2026-05-17T01:44:30.015227+00:00,en,57,social_skills,67,44,67,83,2,1,1,2,2,3,2,1,3,2
61,2026-05-17T04:41:02.917198+00:00,,106,empathy,78,67,67,67,2,2,2,2,2,2,2,3,2,2
62,2026-05-17T09:40:51.243666+00:00,,31,empathy,100,89,83,83,2,3,3,3,2,3,3,3,2,3
63,2026-05-17T10:17:14.614818+00:00,,60,self_regulation,67,78,83,50,3,2,2,3,2,1,2,3,2,1
64,2026-05-17T11:57:22.952792+00:00,,40,self_awareness,78,89,67,50,2,3,3,2,2,2,3,2,2,1
65,2026-05-17T12:35:21.211219+00:00,en,133,self_awareness,44,56,50,33,2,2,1,2,1,2,1,1,1,1
66,2026-05-17T18:02:04.766066+00:00,,44,self_regulation,56,44,67,33,0,2,2,2,2,2,2,1,1,1
67,2026-05-17T18:15:34.404932+00:00,en,40,empathy,78,67,33,67,2,2,2,0,2,3,2,2,2,2
68,2026-05-17T18:20:39.063705+00:00,en,77,empathy,89,78,83,83,3,2,2,2,3,3,3,2,3,2
69,2026-05-17T20:33:19.692433+00:00,,43,self_awareness,100,100,33,100,3,3,3,1,1,3,3,3,3,3
70,2026-05-18T02:56:12.526757+00:00,,138,self_awareness,78,78,67,33,2,2,3,2,2,2,3,2,1,1
71,2026-05-18T03:46:03.885324+00:00,en,47,self_awareness,67,67,17,67,3,2,1,1,0,1,2,3,2,2
72,2026-05-18T06:12:59.692088+00:00,,59,self_regulation,78,78,83,67,2,2,3,3,2,2,2,3,2,2
73,2026-05-18T06:27:21.596558+00:00,,77,self_awareness,78,89,83,67,3,3,2,2,3,2,3,2,2,2
74,2026-05-18T10:36:56.020269+00:00,,89,self_awareness,56,67,50,50,2,2,2,2,1,1,2,2,2,1
75,2026-05-18T11:14:33.983318+00:00,en,479,self_regulation,56,33,83,50,2,0,1,2,3,1,2,2,0,3
76,2026-05-18T12:42:46.699652+00:00,en,4743,self_regulation,56,44,83,50,2,1,1,2,3,1,2,2,2,1
77,2026-05-18T13:42:47.159966+00:00,en,44,self_regulation,56,33,83,50,2,1,0,2,3,1,1,3,2,1
78,2026-05-18T14:08:48.811663+00:00,en,78,empathy,78,67,50,67,2,2,2,1,2,2,3,2,2,2
79,2026-05-18T14:40:34.652939+00:00,,40,self_awareness,44,67,50,50,2,2,2,2,1,2,1,1,1,2
80,2026-05-18T15:24:57.107501+00:00,en,56,empathy,89,67,67,83,3,2,1,2,2,3,2,3,2,3
81,2026-05-18T16:14:18.011772+00:00,en,78,self_awareness,56,100,100,50,3,3,3,3,3,2,3,0,2,1
82,2026-05-19T04:35:22.383375+00:00,en,88,empathy,89,67,33,67,2,3,1,2,0,2,3,3,3,1
83,2026-05-19T04:45:21.100652+00:00,en,49,self_awareness,56,56,50,33,2,1,2,1,2,2,1,2,1,1
84,2026-05-19T08:37:24.258182+00:00,,47,self_awareness,89,89,83,67,3,2,3,2,3,2,3,3,2,2
85,2026-05-19T09:57:16.526469+00:00,,89,self_awareness,67,89,50,83,2,3,3,1,2,2,2,2,2,3
86,2026-05-19T10:55:06.13384+00:00,,38,empathy,100,89,50,67,2,3,3,1,2,3,3,3,2,2
87,2026-05-19T11:11:34.555324+00:00,en,117,empathy,89,67,50,33,3,2,1,2,1,2,3,3,2,0
88,2026-05-19T11:25:27.579372+00:00,,81,empathy,89,44,67,67,2,1,1,2,2,3,2,3,2,2
89,2026-05-19T11:30:15.048233+00:00,en,54,empathy,89,67,33,67,2,2,2,1,1,2,3,3,2,2
90,2026-05-20T01:14:50.27361+00:00,,62,social_skills,78,67,50,100,2,2,2,1,2,2,3,2,3,3
91,2026-05-20T11:17:03.694548+00:00,,42,self_regulation,67,78,83,50,3,2,2,3,2,2,2,2,2,1
92,2026-05-21T12:03:27.176187+00:00,,39,empathy,89,78,17,83,2,3,2,1,0,3,2,3,2,3
93,2026-05-21T18:13:38.040889+00:00,,86,social_skills,67,56,67,83,2,2,1,2,2,2,2,2,3,2
94,2026-05-21T20:14:49.199827+00:00,,43,self_awareness,78,100,0,50,3,3,3,0,0,3,2,2,2,1
95,2026-05-22T01:31:35.421482+00:00,,62,empathy,100,78,83,100,2,2,3,2,3,3,3,3,3,3
